id,x,y,total
49262834,492625,283425,2
49262835,492625,283525,1
49272834,492725,283425,1
49272836,492725,283625,8
49282832,492825,283225,2
49282833,492825,283325,4
49282834,492825,283425,2
49282835,492825,283525,5
49282836,492825,283625,1
49282837,492825,283725,8
49282838,492825,283825,4
49282839,492825,283925,2
49282840,492825,284025,12
49282841,492825,284125,3
49282843,492825,284325,10
49282844,492825,284425,22
49282847,492825,284725,2
49292833,492925,283325,7
49292834,492925,283425,7
49292837,492925,283725,38
49292838,492925,283825,4
49292839,492925,283925,1
49292840,492925,284025,6
49292841,492925,284125,7
49292842,492925,284225,7
49292843,492925,284325,10
49292844,492925,284425,26
49292845,492925,284525,3
49292846,492925,284625,6
49292848,492925,284825,3
49302831,493025,283125,1
49302832,493025,283225,2
49302833,493025,283325,1
49302835,493025,283525,2
49302837,493025,283725,27
49302838,493025,283825,4
49302839,493025,283925,8
49302840,493025,284025,3
49302841,493025,284125,11
49302842,493025,284225,2
49302843,493025,284325,2
49302844,493025,284425,18
49302845,493025,284525,1
49312831,493125,283125,2
49312834,493125,283425,6
49312835,493125,283525,9
49312836,493125,283625,28
49312837,493125,283725,32
49312838,493125,283825,16
49312839,493125,283925,12
49312840,493125,284025,19
49312841,493125,284125,16
49312842,493125,284225,5
49312843,493125,284325,3
49312847,493125,284725,2
49322831,493225,283125,1
49322834,493225,283425,1
49322835,493225,283525,9
49322836,493225,283625,11
49322837,493225,283725,35
49322838,493225,283825,4
49322839,493225,283925,17
49322840,493225,284025,9
49322841,493225,284125,9
49322842,493225,284225,24
49322843,493225,284325,6
49322844,493225,284425,15
49322845,493225,284525,5
49322846,493225,284625,7
49322847,493225,284725,7
49322848,493225,284825,1
49322849,493225,284925,4
49332835,493325,283525,8
49332836,493325,283625,6
49332837,493325,283725,26
49332839,493325,283925,7
49332840,493325,284025,20
49332841,493325,284125,18
49332842,493325,284225,11
49332843,493325,284325,10
49332844,493325,284425,10
49332845,493325,284525,17
49332846,493325,284625,9
49332847,493325,284725,2
49332848,493325,284825,4
49332849,493325,284925,10
49332850,493325,285025,7
49342836,493425,283625,2
49342837,493425,283725,18
49342838,493425,283825,2
49342839,493425,283925,3
49342840,493425,284025,24
49342841,493425,284125,30
49342842,493425,284225,24
49342843,493425,284325,23
49342844,493425,284425,3
49342845,493425,284525,13
49342846,493425,284625,6
49342847,493425,284725,9
49342848,493425,284825,17
49342849,493425,284925,23
49342850,493425,285025,7
49342851,493425,285125,3
49342852,493425,285225,1
49342853,493425,285325,4
49342854,493425,285425,5
49352837,493525,283725,7
49352838,493525,283825,9
49352839,493525,283925,21
49352840,493525,284025,33
49352841,493525,284125,46
49352842,493525,284225,44
49352843,493525,284325,28
49352844,493525,284425,6
49352846,493525,284625,6
49352847,493525,284725,13
49352848,493525,284825,7
49352849,493525,284925,18
49352850,493525,285025,4
49352854,493525,285425,1
49352855,493525,285525,5
49352858,493525,285825,1
49362836,493625,283625,2
49362838,493625,283825,1
49362839,493625,283925,6
49362840,493625,284025,11
49362841,493625,284125,14
49362842,493625,284225,25
49362843,493625,284325,10
49362847,493625,284725,2
49362848,493625,284825,1
49362849,493625,284925,2
49362850,493625,285025,2
49362852,493625,285225,8
49362853,493625,285325,6
49362856,493625,285625,1
49362858,493625,285825,17
49362862,493625,286225,11
49372835,493725,283525,45
49372837,493725,283725,5
49372838,493725,283825,6
49372839,493725,283925,5
49372840,493725,284025,15
49372841,493725,284125,18
49372842,493725,284225,4
49372843,493725,284325,18
49372844,493725,284425,8
49372846,493725,284625,1
49372849,493725,284925,4
49372850,493725,285025,14
49372853,493725,285325,4
49372854,493725,285425,2
49372858,493725,285825,5
49372859,493725,285925,5
49372863,493725,286325,6
49372864,493725,286425,1
49382835,493825,283525,2
49382836,493825,283625,6
49382838,493825,283825,2
49382839,493825,283925,5
49382840,493825,284025,21
49382841,493825,284125,14
49382842,493825,284225,47
49382843,493825,284325,7
49382844,493825,284425,4
49382847,493825,284725,1
49382849,493825,284925,1
49382851,493825,285125,1
49382854,493825,285425,7
49382855,493825,285525,2
49382856,493825,285625,38
49382858,493825,285825,7
49382859,493825,285925,31
49382862,493825,286225,1
49382863,493825,286325,15
49392833,493925,283325,2
49392834,493925,283425,2
49392835,493925,283525,2
49392836,493925,283625,6
49392837,493925,283725,10
49392838,493925,283825,1
49392839,493925,283925,8
49392840,493925,284025,24
49392841,493925,284125,7
49392842,493925,284225,9
49392843,493925,284325,11
49392844,493925,284425,2
49392851,493925,285125,2
49392852,493925,285225,10
49392857,493925,285725,7
49392858,493925,285825,2
49392859,493925,285925,28
49392862,493925,286225,17
49392863,493925,286325,5
49402835,494025,283525,1
49402836,494025,283625,23
49402837,494025,283725,21
49402838,494025,283825,18
49402839,494025,283925,20
49402840,494025,284025,16
49402841,494025,284125,14
49402842,494025,284225,5
49402843,494025,284325,10
49402845,494025,284525,3
49402850,494025,285025,23
49402851,494025,285125,5
49402855,494025,285525,1
49402857,494025,285725,1
49402858,494025,285825,4
49402865,494025,286525,29
49402866,494025,286625,4
49402867,494025,286725,12
49412836,494125,283625,6
49412837,494125,283725,1
49412838,494125,283825,2
49412840,494125,284025,3
49412843,494125,284325,7
49412844,494125,284425,3
49412845,494125,284525,3
49412849,494125,284925,58
49412850,494125,285025,1
49412851,494125,285125,6
49412854,494125,285425,13
49412855,494125,285525,6
49412856,494125,285625,4
49412857,494125,285725,7
49412858,494125,285825,4
49412859,494125,285925,1
49412862,494125,286225,1
49412863,494125,286325,1
49412865,494125,286525,3
49412866,494125,286625,35
49412867,494125,286725,1
49412868,494125,286825,1
49422837,494225,283725,5
49422838,494225,283825,3
49422839,494225,283925,2
49422840,494225,284025,10
49422841,494225,284125,1
49422842,494225,284225,1
49422843,494225,284325,2
49422844,494225,284425,2
49422845,494225,284525,4
49422846,494225,284625,1
49422852,494225,285225,9
49422853,494225,285325,2
49422856,494225,285625,7
49422857,494225,285725,6
49422858,494225,285825,5
49422859,494225,285925,1
49422860,494225,286025,5
49422861,494225,286125,8
49422864,494225,286425,5
49422865,494225,286525,8
49422867,494225,286725,1
49422868,494225,286825,16
49432836,494325,283625,6
49432837,494325,283725,6
49432838,494325,283825,3
49432840,494325,284025,3
49432841,494325,284125,4
49432842,494325,284225,5
49432843,494325,284325,14
49432844,494325,284425,1
49432845,494325,284525,3
49432852,494325,285225,14
49432853,494325,285325,5
49432854,494325,285425,1
49432855,494325,285525,4
49432856,494325,285625,9
49432857,494325,285725,8
49432858,494325,285825,3
49432859,494325,285925,5
49432860,494325,286025,12
49432861,494325,286125,10
49432862,494325,286225,5
49432863,494325,286325,6
49432864,494325,286425,5
49432865,494325,286525,1
49442835,494425,283525,1
49442836,494425,283625,26
49442837,494425,283725,52
49442838,494425,283825,25
49442839,494425,283925,21
49442840,494425,284025,5
49442841,494425,284125,6
49442842,494425,284225,8
49442843,494425,284325,8
49442844,494425,284425,13
49442846,494425,284625,1
49442851,494425,285125,2
49442852,494425,285225,4
49442854,494425,285425,2
49442855,494425,285525,4
49442856,494425,285625,7
49442857,494425,285725,4
49442859,494425,285925,5
49442860,494425,286025,7
49442861,494425,286125,7
49442862,494425,286225,1
49442863,494425,286325,2
49442865,494425,286525,1
49442866,494425,286625,1
49452836,494525,283625,1
49452837,494525,283725,3
49452838,494525,283825,3
49452839,494525,283925,4
49452840,494525,284025,6
49452841,494525,284125,16
49452842,494525,284225,19
49452843,494525,284325,6
49452844,494525,284425,9
49452845,494525,284525,10
49452846,494525,284625,2
49452847,494525,284725,1
49452852,494525,285225,7
49452853,494525,285325,13
49452854,494525,285425,19
49452855,494525,285525,11
49452856,494525,285625,10
49452859,494525,285925,11
49452860,494525,286025,15
49452861,494525,286125,4
49452862,494525,286225,2
49452863,494525,286325,1
49452865,494525,286525,1
49462833,494625,283325,22
49462838,494625,283825,2
49462839,494625,283925,3
49462840,494625,284025,6
49462841,494625,284125,2
49462842,494625,284225,11
49462843,494625,284325,18
49462844,494625,284425,20
49462845,494625,284525,26
49462846,494625,284625,1
49462847,494625,284725,2
49462851,494625,285125,2
49462852,494625,285225,3
49462853,494625,285325,5
49462854,494625,285425,11
49462855,494625,285525,6
49462856,494625,285625,26
49462857,494625,285725,6
49462858,494625,285825,19
49462859,494625,285925,52
49462860,494625,286025,8
49462861,494625,286125,2
49462862,494625,286225,1
49462863,494625,286325,1
49462865,494625,286525,7
49472840,494725,284025,1
49472841,494725,284125,11
49472842,494725,284225,3
49472843,494725,284325,16
49472844,494725,284425,17
49472845,494725,284525,4
49472846,494725,284625,3
49472852,494725,285225,1
49472854,494725,285425,1
49472855,494725,285525,6
49472856,494725,285625,31
49472857,494725,285725,4
49472858,494725,285825,17
49472859,494725,285925,7
49472861,494725,286125,20
49472862,494725,286225,10
49472863,494725,286325,11
49482832,494825,283225,1
49482839,494825,283925,1
49482841,494825,284125,2
49482842,494825,284225,5
49482843,494825,284325,17
49482844,494825,284425,3
49482845,494825,284525,26
49482846,494825,284625,14
49482851,494825,285125,1
49482854,494825,285425,6
49482855,494825,285525,22
49482856,494825,285625,34
49482857,494825,285725,27
49482858,494825,285825,27
49482859,494825,285925,4
49482860,494825,286025,2
49482861,494825,286125,12
49482862,494825,286225,1
49492833,494925,283325,1
49492834,494925,283425,3
49492842,494925,284225,2
49492844,494925,284425,4
49492845,494925,284525,4
49492846,494925,284625,5
49492847,494925,284725,1
49492848,494925,284825,7
49492852,494925,285225,4
49492853,494925,285325,20
49492854,494925,285425,25
49492855,494925,285525,18
49492856,494925,285625,24
49492857,494925,285725,33
49492858,494925,285825,2
49492859,494925,285925,25
49492860,494925,286025,3
49492861,494925,286125,15
49502834,495025,283425,1
49502835,495025,283525,1
49502844,495025,284425,1
49502845,495025,284525,2
