id,x,y,f_index
49242847,492425,284725,7.42
49252827,492525,282725,6.93
49252847,492525,284725,7.42
49252848,492525,284825,6.05
49262828,492625,282825,6.67
49262829,492625,282925,6.67
49262833,492625,283325,6.68
49262834,492625,283425,7.09
49262846,492625,284625,7.41
49262847,492625,284725,6.78
49262848,492625,284825,6.05
49272828,492725,282825,6.69
49272829,492725,282925,6.68
49272830,492725,283025,6.67
49272832,492725,283225,6.71
49272833,492725,283325,6.67
49272834,492725,283425,7.07
49272835,492725,283525,7.07
49272845,492725,284525,7.4
49272846,492725,284625,7.0
49272847,492725,284725,6.05
49272848,492725,284825,6.04
49272849,492725,284925,6.05
49272869,492725,286925,4.11
49282828,492825,282825,6.77
49282829,492825,282925,6.76
49282830,492825,283025,6.69
49282831,492825,283125,6.76
49282832,492825,283225,6.67
49282833,492825,283325,6.92
49282834,492825,283425,7.07
49282835,492825,283525,7.07
49282836,492825,283625,6.72
49282837,492825,283725,6.72
49282838,492825,283825,6.68
49282839,492825,283925,6.65
49282840,492825,284025,6.57
49282841,492825,284125,6.51
49282842,492825,284225,6.97
49282843,492825,284325,6.72
49282844,492825,284425,7.41
49282845,492825,284525,7.14
49282846,492825,284625,6.05
49282847,492825,284725,6.04
49282848,492825,284825,6.25
49282849,492825,284925,6.83
49282870,492825,287025,4.11
49292828,492925,282825,6.77
49292829,492925,282925,6.74
49292830,492925,283025,6.77
49292831,492925,283125,6.76
49292832,492925,283225,6.72
49292833,492925,283325,7.25
49292834,492925,283425,7.24
49292835,492925,283525,7.23
49292836,492925,283625,6.71
49292837,492925,283725,6.71
49292838,492925,283825,6.69
49292839,492925,283925,6.65
49292840,492925,284025,6.65
49292841,492925,284125,6.99
49292842,492925,284225,7.15
49292843,492925,284325,7.04
49292844,492925,284425,7.11
49292845,492925,284525,6.14
49292846,492925,284625,6.04
49292847,492925,284725,6.23
49292848,492925,284825,6.82
49292849,492925,284925,6.82
49292850,492925,285025,6.83
49292857,492925,285725,6.73
49292858,492925,285825,6.73
49292859,492925,285925,6.73
49292870,492925,287025,4.11
49292871,492925,287125,4.11
49302827,493025,282725,6.77
49302828,493025,282825,6.77
49302829,493025,282925,6.77
49302830,493025,283025,6.73
49302831,493025,283125,6.77
49302832,493025,283225,6.77
49302833,493025,283325,7.12
49302834,493025,283425,7.18
49302835,493025,283525,7.15
49302836,493025,283625,6.72
49302837,493025,283725,6.71
49302838,493025,283825,6.74
49302839,493025,283925,6.81
49302840,493025,284025,6.8
49302841,493025,284125,7.04
49302842,493025,284225,7.11
49302843,493025,284325,6.96
49302844,493025,284425,6.96
49302845,493025,284525,6.42
49302846,493025,284625,6.05
49302847,493025,284725,6.73
49302848,493025,284825,6.82
49302849,493025,284925,6.83
49302850,493025,285025,6.82
49302851,493025,285125,6.62
49302852,493025,285225,6.02
49302853,493025,285325,6.02
