id,x,y,m_index
49242847,492425,284725,5.71
49252827,492525,282725,6.2
49252847,492525,284725,5.71
49252848,492525,284825,7.08
49262828,492625,282825,6.45
49262829,492625,282925,6.45
49262833,492625,283325,6.45
49262834,492625,283425,6.04
49262846,492625,284625,5.71
49262847,492625,284725,6.35
49262848,492625,284825,7.08
49272828,492725,282825,6.44
49272829,492725,282925,6.45
49272830,492725,283025,6.45
49272832,492725,283225,6.41
49272833,492725,283325,6.45
49272834,492725,283425,6.06
49272835,492725,283525,6.05
49272845,492725,284525,5.72
49272846,492725,284625,6.13
49272847,492725,284725,7.08
49272848,492725,284825,7.08
49272849,492725,284925,7.08
49272869,492725,286925,9.02
49282828,492825,282825,6.35
49282829,492825,282925,6.37
49282830,492825,283025,6.44
49282831,492825,283125,6.37
49282832,492825,283225,6.45
49282833,492825,283325,6.21
49282834,492825,283425,6.05
49282835,492825,283525,6.05
49282836,492825,283625,6.41
49282837,492825,283725,6.41
49282838,492825,283825,6.44
49282839,492825,283925,6.48
49282840,492825,284025,6.55
49282841,492825,284125,6.62
49282842,492825,284225,6.16
49282843,492825,284325,6.4
49282844,492825,284425,5.72
49282845,492825,284525,5.98
49282846,492825,284625,7.08
49282847,492825,284725,7.08
49282848,492825,284825,6.88
49282849,492825,284925,6.3
49282870,492825,287025,9.02
49292828,492925,282825,6.35
49292829,492925,282925,6.39
49292830,492925,283025,6.35
49292831,492925,283125,6.36
49292832,492925,283225,6.4
49292833,492925,283325,5.88
49292834,492925,283425,5.89
49292835,492925,283525,5.9
49292836,492925,283625,6.41
49292837,492925,283725,6.41
49292838,492925,283825,6.44
49292839,492925,283925,6.48
49292840,492925,284025,6.48
49292841,492925,284125,6.14
49292842,492925,284225,5.97
49292843,492925,284325,6.08
49292844,492925,284425,6.01
49292845,492925,284525,6.98
49292846,492925,284625,7.09
49292847,492925,284725,6.89
49292848,492925,284825,6.3
49292849,492925,284925,6.3
49292850,492925,285025,6.3
49292857,492925,285725,6.4
49292858,492925,285825,6.4
49292859,492925,285925,6.4
49292870,492925,287025,9.02
49292871,492925,287125,9.02
49302827,493025,282725,6.35
49302828,493025,282825,6.35
49302829,493025,282925,6.36
49302830,493025,283025,6.39
49302831,493025,283125,6.35
49302832,493025,283225,6.35
49302833,493025,283325,6.01
49302834,493025,283425,5.94
49302835,493025,283525,5.98
49302836,493025,283625,6.41
49302837,493025,283725,6.41
49302838,493025,283825,6.38
49302839,493025,283925,6.31
49302840,493025,284025,6.33
49302841,493025,284125,6.08
49302842,493025,284225,6.01
49302843,493025,284325,6.16
49302844,493025,284425,6.16
49302845,493025,284525,6.7
49302846,493025,284625,7.07
49302847,493025,284725,6.39
49302848,493025,284825,6.31
49302849,493025,284925,6.3
49302850,493025,285025,6.3
49302851,493025,285125,6.51
49302852,493025,285225,7.1
49302853,493025,285325,7.11
49302854,493025,285425,7.11
49302855,493025,285525,7.11
49302856,493025,285625,6.78
49302857,493025,285725,6.4
49302858,493025,285825,6.4
49302859,493025,285925,6.4
49302871,493025,287125,9.02
49302872,493025,287225,9.02
49312827,493125,282725,6.35
49312828,493125,282825,6.36
49312829,493125,282925,6.35
49312830,493125,283025,6.35
49312831,493125,283125,6.35
49312832,493125,283225,6.35
49312833,493125,283325,6.08
49312834,493125,283425,6.08
49312835,493125,283525,6.08
49312836,493125,283625,6.09
49312837,493125,283725,6.18
49312838,493125,283825,6.12
49312839,493125,283925,6.12
49312840,493125,284025,6.13
49312841,493125,284125,6.13
49312842,493125,284225,6.12
49312843,493125,284325,6.16
49312844,493125,284425,6.16
49312845,493125,284525,6.35
49312846,493125,284625,6.56
49312847,493125,284725,6.3
49312848,493125,284825,6.3
49312849,493125,284925,6.3
49312850,493125,285025,6.28
49312851,493125,285125,7.1
49312852,493125,285225,7.1
49312853,493125,285325,7.1
49312854,493125,285425,7.11
49312855,493125,285525,7.11
49312856,493125,285625,6.6
49312857,493125,285725,6.4
49312858,493125,285825,6.4
49312859,493125,285925,6.4
49312860,493125,286025,6.4
49322827,493225,282725,6.35
49322828,493225,282825,6.35
49322829,493225,282925,6.35
49322830,493225,283025,6.36
49322831,493225,283125,6.32
49322832,493225,283225,5.95
49322833,493225,283325,5.89
49322834,493225,283425,5.89
49322835,493225,283525,5.89
49322836,493225,283625,6.07
49322837,493225,283725,6.07
49322838,493225,283825,6.09
49322839,493225,283925,6.13
49322840,493225,284025,6.13
49322841,493225,284125,6.03
49322842,493225,284225,5.91
49322843,493225,284325,5.91
49322844,493225,284425,6.18
49322845,493225,284525,6.38
49322846,493225,284625,6.38
49322847,493225,284725,6.38
49322848,493225,284825,6.39
49322849,493225,284925,6.46
49322850,493225,285025,6.46
49322851,493225,285125,7.11
49322852,493225,285225,7.11
49322853,493225,285325,7.1
49322854,493225,285425,7.1
49322855,493225,285525,7.11
49322856,493225,285625,6.4
49322857,493225,285725,6.4
49322858,493225,285825,6.4
49322859,493225,285925,6.4
49322860,493225,286025,6.4
49332827,493325,282725,6.34
49332828,493325,282825,6.35
49332829,493325,282925,6.35
49332830,493325,283025,6.34
49332831,493325,283125,6.33
49332832,493325,283225,5.89
49332833,493325,283325,5.89
49332834,493325,283425,5.89
49332835,493325,283525,5.92
49332836,493325,283625,6.07
49332837,493325,283725,6.07
49332838,493325,283825,6.14
49332839,493325,283925,6.19
49332840,493325,284025,6.19
49332841,493325,284125,6.04
49332842,493325,284225,5.91
49332843,493325,284325,5.91
49332844,493325,284425,6.24
49332845,493325,284525,6.38
49332846,493325,284625,6.38
49332847,493325,284725,6.38
49332848,493325,284825,6.46
49332849,493325,284925,6.46
49332850,493325,285025,6.46
49332851,493325,285125,7.1
49332852,493325,285225,7.1
49332853,493325,285325,7.11
49332854,493325,285425,7.1
49332855,493325,285525,6.96
49332856,493325,285625,6.4
49332857,493325,285725,6.4
49332858,493325,285825,6.4
49332859,493325,285925,6.4
49332860,493325,286025,6.4
49342826,493425,282625,6.29
49342827,493425,282725,6.29
49342828,493425,282825,6.29
49342829,493425,282925,6.29
49342830,493425,283025,6.29
49342831,493425,283125,6.23
49342832,493425,283225,5.89
49342833,493425,283325,5.89
49342834,493425,283425,5.92
49342835,493425,283525,5.99
49342836,493425,283625,6.01
49342837,493425,283725,6.01
49342838,493425,283825,6.1
49342839,493425,283925,6.19
49342840,493425,284025,6.19
49342841,493425,284125,6.16
49342842,493425,284225,5.91
49342843,493425,284325,6.02
49342844,493425,284425,5.82
49342845,493425,284525,5.26
49342846,493425,284625,6.2
49342847,493425,284725,6.2
49342848,493425,284825,6.46
49342849,493425,284925,6.46
49342850,493425,285025,6.51
49342851,493425,285125,7.09
49342852,493425,285225,7.11
49342853,493425,285325,7.12
49342854,493425,285425,7.11
49342855,493425,285525,6.73
49342856,493425,285625,6.4
49342857,493425,285725,6.39
49342858,493425,285825,6.38
49342859,493425,285925,6.4
49342860,493425,286025,6.4
49342861,493425,286125,6.15
49342862,493425,286225,6.4
49352825,493525,282525,7.03
49352826,493525,282625,7.02
49352827,493525,282725,7.02
49352828,493525,282825,7.03
49352829,493525,282925,7.03
49352830,493525,283025,7.04
49352831,493525,283125,7.03
49352832,493525,283225,6.0
49352833,493525,283325,5.94
49352834,493525,283425,5.99
49352835,493525,283525,5.99
49352836,493525,283625,5.99
49352837,493525,283725,5.99
49352838,493525,283825,6.03
49352839,493525,283925,6.19
49352840,493525,284025,6.19
49352841,493525,284125,6.16
49352842,493525,284225,6.09
49352843,493525,284325,6.09
49352844,493525,284425,5.74
49352845,493525,284525,5.25
49352846,493525,284625,5.75
49352847,493525,284725,5.99
49352848,493525,284825,6.29
49352849,493525,284925,6.46
49352850,493525,285025,6.5
49352851,493525,285125,7.18
49352852,493525,285225,7.16
49352853,493525,285325,7.18
49352854,493525,285425,6.61
49352855,493525,285525,6.38
49352856,493525,285625,6.39
49352857,493525,285725,6.4
49352858,493525,285825,6.38
49352859,493525,285925,6.4
49352860,493525,286025,6.14
49352861,493525,286125,6.12
49352862,493525,286225,6.37
49352863,493525,286325,6.38
49352864,493525,286425,6.38
49352868,493525,286825,6.14
49362824,493625,282425,7.04
49362825,493625,282525,7.04
49362826,493625,282625,7.03
49362827,493625,282725,7.03
49362828,493625,282825,7.03
49362829,493625,282925,7.03
49362830,493625,283025,7.03
49362831,493625,283125,7.03
49362832,493625,283225,7.03
49362833,493625,283325,6.36
49362834,493625,283425,6.06
49362835,493625,283525,6.0
49362836,493625,283625,5.99
49362837,493625,283725,6.28
49362838,493625,283825,6.76
49362839,493625,283925,6.7
49362840,493625,284025,6.04
49362841,493625,284125,6.04
49362842,493625,284225,6.07
49362843,493625,284325,6.09
49362844,493625,284425,5.67
49362845,493625,284525,5.26
49362846,493625,284625,5.93
49362847,493625,284725,5.96
49362848,493625,284825,5.59
49362849,493625,284925,5.56
49362850,493625,285025,5.78
49362851,493625,285125,5.9
49362852,493625,285225,6.18
49362853,493625,285325,6.43
49362854,493625,285425,6.38
